Abilities | [s] None => 758229 | 2026-09-06 03:16:10 (UTC)
Heroes | [s] None => 16425 | 2026-09-06 03:16:09 (UTC)
Items | [s] None => 136060 | 2026-09-06 03:16:09 (UTC)
News | [s] 93898 => 93898 | 2026-09-06 03:20:18 (UTC)
News | [s] 93898 => 93898 | 2026-09-06 03:25:18 (UTC)
News | [s] 93898 => 93898 | 2026-09-06 03:30:18 (UTC)
News | [s] 93898 => 93898 | 2026-09-06 03:40:18 (UTC)
News | [s] 93898 => 93898 | 2026-09-06 03:45:18 (UTC)
News | [s] 93898 => 93898 | 2026-09-06 04:00:18 (UTC)
News | [s] 93898 => 93898 | 2026-09-06 04:15:34 (UTC)
News | [s] 93898 => 93898 | 2026-09-06 04:25:34 (UTC)
News | [s] 93898 => 93898 | 2026-09-06 04:30:34 (UTC)
News | [s] 93898 => 93898 | 2026-09-06 04:35:33 (UTC)
News | [s] 93898 => 93898 | 2026-09-06 04:40:34 (UTC)
News | [s] 93898 => 93898 | 2026-09-06 04:45:34 (UTC)
News | [s] 93898 => 93898 | 2026-09-06 04:50:34 (UTC)
News | [s] 93898 => 93898 | 2026-09-06 05:04:19 (UTC)
News | [s] 93898 => 93898 | 2026-09-06 05:14:19 (UTC)
News | [s] None => 93898 | 2026-09-06 03:16:10 (UTC)
Patchnotes | [s] None => 9054 | 2026-09-06 03:16:10 (UTC)
